Tesco Value Ziemniaki niemyte 2 kg,"1,29 zł"
"Tesco Ziemniaki do pieczenia i na frytki 2,5 kg","3,29 zł"
"Tesco Ziemniaki niemyte 7,5 kg","6,99 zł"
"Tesco Ziemniaki obiadowe 2,5 kg","3,69 zł"
Tesco Ziemniaki odmiana Agata 2 kg,"3,29 zł"
Tesco Ziemniaki odmiana Gala 2 kg,"3,29 zł"
Tesco Ziemniaki odmiana Jelly 2 kg,"3,29 zł"
Tesco Ziemniaki odmiana Lord 2 kg,"3,29 zł"
Tesco Ziemniaki odmiana Melody 2 kg,"3,29 zł"
Tesco Ziemniaki odmiana Red Lady 2 kg,"3,29 zł"
Tesco Ziemniaki odmiana Vineta 2 kg,"3,29 zł"
"Tesco Ziemniaki sałatkowe 2,5 kg","3,49 zł"
Ziemniaki,"0,08 zł"
Ziemniaki 5 kg,"1,99 zł"
Ziemniaki słodkie bataty,"4,37 zł"
Buraki,"0,24 zł"
Tesco Value Buraki 2 kg,"1,79 zł"
Marchew,"0,10 zł"
Tesco Marchew 1 kg,"1,79 zł"
Tesco Value Marchew 2 kg,"2,49 zł"
Pietruszka korzeń,"0,45 zł"
Cebula,"0,53 zł"
Cebula 5 kg,"2,99 zł"
Cebula biała czosnkowa,"1,19 zł"
Cebula czerwona,"0,70 zł"
Tesco Cebula 1 kg,"2,49 zł"
Tesco Cebula 3 sztuki,"2,99 zł"
Tesco Cebula szalotka 250 g,"2,99 zł"
Tesco Polska cebula dymka,"1,99 zł"
Tesco Value Cebula 2 kg,"2,99 zł"
Amplus Czosnek warkocz,"14,99 zł"
Czosnek,"1,49 zł"
Tesco Czosnek 3 sztuki,"3,49 zł"
Tesco Czosnek polski 200 g,"4,49 zł"
Por,"0,81 zł"
Tesco Por 400 g,"3,99 zł"
Brokuł,"3,99 zł"
Kalafior,"6,99 zł"
Kapusta biała,"2,58 zł"
Kapusta czerwona,"1,94 zł"
Kapusta pekińska,"1,58 zł"
Kapusta włoska,"2,49 zł"
Tesco Brokuł róże 300 g,"4,99 zł"
Tesco Kalafior róże 500 g,"4,99 zł"
Tesco Mix brokuł i kalafior 500 g,"5,49 zł"
Polski pomidor śliwkowy,"0,80 zł"
Pomidor,"1,02 zł"
POMIDOR KANAPKOWY LUZ,"0,90 zł"
Pomidor mini śliwkowy,"1,04 zł"
Pomidory cherry,"1,00 zł"
POMIDORY TES SAN MARZANO 300g,"7,99 zł"
Tesco Kumato Pomidor 500 g,"5,99 zł"
Tesco Pomidorki cherry 250 g,"2,99 zł"
Tesco Pomidorki koktajlowe na gałązce 500 g,"3,99 zł"
Tesco Pomidorki koktajlowe na gałązce aromatyczne i słodkie 200 g,"4,49 zł"
Tesco Pomidorki koktajlowe śliwkowe 250 g,"3,99 zł"
Tesco Pomidory mini malinowe 300 g,"5,99 zł"
Tesco Pomidory na gałązce 500 g,"5,99 zł"
Tesco Pomidory śliwkowe 500 g,"4,99 zł"
Papryka biała igołomska,"0,67 zł"
Papryka czerwona,"1,92 zł"
Papryka zielona,"1,92 zł"
Papryka żółta,"1,98 zł"
Sun Grown Peperoni czerwone 125 g,"4,49 zł"
Tesco Finest Papryka słodka szpiczasta 2 sztuki,"4,99 zł"
Tesco Papryka mix 500 g,"4,49 zł"
Tesco Papryka ostra 3 sztuki,"5,49 zł"
Tesco Papryka słodka baby 200 g,"5,99 zł"
Sałata głowiasta,"2,99 zł"
Sałata strzępiasta,"3,99 zł"
Tesco Sałata lodowa,"2,49 zł"
Tesco Sałata rzymska 180 g,"4,99 zł"
Rzodkiewka pęczek,"1,49 zł"
Kapusta biała kwaszona,"0,35 zł"
Kapusta kwaszona z ziołami,"0,35 zł"
Ogórki kwaszone,"0,88 zł"
Bakłażan,"1,12 zł"
Brukselka,"0,50 zł"
Cukinia,"1,72 zł"
Dynia,"0,30 zł"
Dynia piżmowa,"4,99 zł"
Imbir świeży,"5,00 zł"
Kalarepa,"1,99 zł"
Kukurydza cukrowa gotowana 400 g (2 sztuki),"5,99 zł"
Rzodkiew biała,"1,94 zł"
Seler korzeń,"0,88 zł"
Tesco Buraki gotowane 300 g,"2,99 zł"
Tesco Cykoria 500 g,"5,99 zł"
Tesco Mieszanka warzywna prowansalska 330 g,"5,99 zł"
Tesco Seler naciowy 400 g,"2,29 zł"
Tesco Szparagi zielone 500 g,"12,99 zł"
Tesco Value Włoszczyzna 350 g,"2,49 zł"
Tesco Włoszczyzna 700 g,"3,99 zł"
Bazylia czerwona,"4,49 zł"
Fructofit! Sałatka owocowa 1000 g,"14,99 zł"
Fructofit! Sałatka owocowa 250 g,"5,99 zł"
Fructofit! Sałatka owocowa 550 g,"9,99 zł"
Fructofit! Sałatka owocowa Fantasy 250 g,"5,99 zł"
KIELKI CEBULI 50g,"3,99 zł"
KIELKI DUO 70g,"4,99 zł"
Rukiew wodna,"4,99 zł"
